Source,Record,Group,Matrix,Nanomaterial,Dose,Units,Organism,Endpoint,Response,Direction
CEINT,146,27,Dispersive,NanoSilver,1,mg/L,human lung carcinoma epithelial-like cell,Mitochondrial Activity,0.188775,Less
CEINT,147,27,Dispersive,NanoSilver,2.5,mg/L,human lung carcinoma epithelial-like cell,Mitochondrial Activity,0.239795,Less
CEINT,148,27,Dispersive,NanoSilver,5,mg/L,human lung carcinoma epithelial-like cell,Mitochondrial Activity,0.331632,Less
CEINT,149,27,Dispersive,NanoSilver,10,mg/L,human lung carcinoma epithelial-like cell,Mitochondrial Activity,0.443877,Less
CEINT,150,27,Dispersive,NanoSilver,12.5,mg/L,human lung carcinoma epithelial-like cell,Mitochondrial Activity,0.540816,Less
CEINT,151,27,Dispersive,NanoSilver,15,mg/L,human lung carcinoma epithelial-like cell,Mitochondrial Activity,0.647959,Less
CEINT,152,27,Dispersive,NanoSilver,20,mg/L,human lung carcinoma epithelial-like cell,Mitochondrial Activity,0.841836,Less
CEINT,153,28,Dispersive,NanoSilver,0,mg/L,human lung carcinoma epithelial-like cell,Mortality,0,More
CEINT,154,28,Dispersive,NanoSilver,1,mg/L,human lung carcinoma epithelial-like cell,Mortality,0,More
CEINT,155,28,Dispersive,NanoSilver,2.5,mg/L,human lung carcinoma epithelial-like cell,Mortality,0.180412,More
CEINT,156,28,Dispersive,NanoSilver,5,mg/L,human lung carcinoma epithelial-like cell,Mortality,0.407216,More
CEINT,157,28,Dispersive,NanoSilver,10,mg/L,human lung carcinoma epithelial-like cell,Mortality,0.675257,More
CEINT,158,28,Dispersive,NanoSilver,15,mg/L,human lung carcinoma epithelial-like cell,Mortality,0.706186,More
CEINT,159,29,Dispersive,NanoSilver,0,mg/L,Human mesenchymal stem cells,Mortality,0,More
CEINT,160,29,Dispersive,NanoSilver,0.01,mg/L,Human mesenchymal stem cells,Mortality,0.009524,More
CEINT,161,29,Dispersive,NanoSilver,0.1,mg/L,Human mesenchymal stem cells,Mortality,0.009524,More
CEINT,162,29,Dispersive,NanoSilver,1,mg/L,Human mesenchymal stem cells,Mortality,0.042857,More
CEINT,163,29,Dispersive,NanoSilver,10,mg/L,Human mesenchymal stem cells,Mortality,0.785714,More
CEINT,164,30,Dispersive,NanoSilver,0,mg/L,Carex lurida,Seed Germination,0,Less
CEINT,165,30,Dispersive,NanoSilver,1,mg/L,Carex lurida,Seed Germination,0.156863,Less
CEINT,166,30,Dispersive,NanoSilver,10,mg/L,Carex lurida,Seed Germination,0.039216,Less
CEINT,167,30,Dispersive,NanoSilver,40,mg/L,Carex lurida,Seed Germination,0.156863,Less
CEINT,168,31,Dispersive,NanoSilver,0,mg/L,Carex crinita,Seed Germination,0,Less
CEINT,169,31,Dispersive,NanoSilver,1,mg/L,Carex crinita,Seed Germination,0.020408,Less
CEINT,170,31,Dispersive,NanoSilver,10,mg/L,Carex crinita,Seed Germination,0.061224,Less
CEINT,171,31,Dispersive,NanoSilver,40,mg/L,Carex crinita,Seed Germination,0.040816,Less
CEINT,172,32,Dispersive,NanoSilver,0,mg/L,Carex scoparia,Seed Germination,0,Less
CEINT,173,32,Dispersive,NanoSilver,1,mg/L,Carex scoparia,Seed Germination,0.013889,Less
CEINT,174,32,Dispersive,NanoSilver,10,mg/L,Carex scoparia,Seed Germination,0.041667,Less
CEINT,175,32,Dispersive,NanoSilver,40,mg/L,Carex scoparia,Seed Germination,0,Less
CEINT,176,33,Dispersive,NanoSilver,0,mg/L,Carex vulpinoidea,Seed Germination,0,Less
CEINT,177,33,Dispersive,NanoSilver,1,mg/L,Carex vulpinoidea,Seed Germination,0.224138,Less
CEINT,178,33,Dispersive,NanoSilver,10,mg/L,Carex vulpinoidea,Seed Germination,0.241379,Less
CEINT,179,33,Dispersive,NanoSilver,40,mg/L,Carex vulpinoidea,Seed Germination,0.172414,Less
CEINT,180,34,Dispersive,NanoSilver,0,mg/L,Scirpus syperinus,Seed Germination,0,Less
CEINT,181,34,Dispersive,NanoSilver,1,mg/L,Scirpus syperinus,Seed Germination,0.184615,Less
CEINT,182,34,Dispersive,NanoSilver,10,mg/L,Scirpus syperinus,Seed Germination,0.323077,Less
CEINT,183,34,Dispersive,NanoSilver,40,mg/L,Scirpus syperinus,Seed Germination,0.076923,Less
CEINT,184,35,Dispersive,NanoSilver,0,mg/L,Juncus effusus,Seed Germination,0,Less
CEINT,185,35,Dispersive,NanoSilver,1,mg/L,Juncus effusus,Seed Germination,0.454545,Less
CEINT,186,35,Dispersive,NanoSilver,10,mg/L,Juncus effusus,Seed Germination,0.136364,Less
CEINT,187,35,Dispersive,NanoSilver,40,mg/L,Juncus effusus,Seed Germination,0.181818,Less
CEINT,188,36,Dispersive,NanoSilver,0,mg/L,Lolium multiflorum,Seed Germination,0,Less
CEINT,189,36,Dispersive,NanoSilver,1,mg/L,Lolium multiflorum,Seed Germination,0.054054,Less
